25.0994005446,102.7637022828,25.0964663683,102.7651989554,25.102294,102.771758,云南省昆明市盘龙区沣源路,-,昆明 清水佳湖雅居
32.0596753526,118.6706130269,32.0575340178,118.6757038596,32.063894,118.68215,江苏省南京市浦口区镇南河路,-,南京 正荣润江城
25.0587032083,102.6719245846,25.0556660225,102.6732710535,25.061407,102.679818,云南省昆明市五华区科业路21号,-,昆明 尚源郦城枫桦园
32.1252369394,119.4235978673,32.123374363,119.4290373872,32.129264,119.435543,江苏省镇江市丹徒区长山路,-,镇江 荣正山水半岛
24.9902100046,102.8112780016,24.9872099848,102.8127371233,24.993232,102.819249,云南省昆明市官渡区G324(贵昆路),-,昆明 耀兴枫丹白露
31.2523414328,121.501954976,31.2503512532,121.5064020785,31.255988,121.512987,上海市虹口区海平路18号,-,上海 白金湾府邸
22.5700661892,113.3859748507,22.5673813312,113.3914519215,22.573718,113.397906,广东省中山市中山市木河迳东路,-,中山 东方骏园
32.1866365111,119.4867037208,32.1846344229,119.4919715793,32.190725,119.498456,江苏省镇江市京口区谷阳路89号,-,镇江 永隆城市广场
25.1376441996,118.9240123753,25.1346818452,118.9284862999,25.141035,118.934928,福建省泉州市泉港区驿峰东路,-,泉州 山海国际
22.4865590177,113.3546877666,22.483832952,113.3601219221,22.489765,113.366668,广东省中山市中山市星华路,-,中山 星汇云锦
25.0211992603,102.7173694153,25.0182388621,102.718828537,25.024548,102.725257,云南省昆明市官渡区永平路49号,-,昆明 鑫都韵城
23.0011293666,113.3931395495,22.9985862866,113.3986541712,23.00491,113.405079,广东省广州市番禺区南村东线路,-,广州 时代倾城(广州)
40.396867037,116.8373552635,40.3980559991,116.843406327,40.403976,116.849916,北京市密云县S205(密关路),-,北京 华远·澜悦
29.6992823322,118.3119592636,29.6968219791,118.3170983761,29.70318,118.323535,安徽省黄山市屯溪区洽阳路,-,黄山 景徽国际
0,0,0,0,0,0,-,-,武汉 金地京汉1928
31.1733454282,121.4559642218,31.1714269973,121.460534706,31.177518,121.466986,上海市徐汇区宛平南路1518弄-15-～16号-22-～29号,-,上海 百汇园
28.1413306607,113.0154879592,28.138028838,113.0211796067,28.144298,113.027645,湖南省长沙市雨花区香樟路571号,-,长沙 旭辉香樟公馆
24.9445649089,102.6920673044,24.9415541858,102.6934566887,24.947572,102.699945,云南省昆明市官渡区福保路,-,昆明 招商海公馆
39.8125834549,116.2983551358,39.8138279236,116.3044008349,39.81991,116.310879,北京市丰台区樊羊路,-,北京 京投银泰万科西华府
